Tweets,Class
"https://t.co/NNXBghKtEh

6 months ago #mentalhealth was a problem in #Ukraine. It is orders of manitude worse today.
@NAMICommunicate
@CarterCenter #depression #bipolar #Schizophrenia #schizoaffectivedisorder
#UkraineRussiaWar #UkraineRussianWar #UkraineUnderAttack",Depression
"Nothing prepares you
For how lonely it can get
Wanting to be held
Wishing to be understood
Waiting to be let inside

#poem #poetry #micropoetry #tanka #writing #amwriting #WritingCommunity #mentalhealth #depression #anxiety #support #recovery #SickNotWeak #endthestigma",Depression
"This is ESPECIALLY true of #ChronicIllness. Take #POTS for example: #Depression can indeed worsen dramatically with flares of low blood pressure. It's crucial to remember that low bp=exacerbates depression.😲🤔🤨🧐💗

The physical can tremendously influence #MentalHealth as well. https://t.co/gVvhNXYyiS",Depression
"#Depression frequently co-occurs with #ADHD. CHADD resident expert Dr. Gene Arnold talks about the symptoms of depression and describes treatment options for children and adults in this #podcast.
#adhdtwitter #parenting #womenshealth #menshealth

https://t.co/p8UDIF9ygS https://t.co/AgF3oqhurr",Depression
"Farewell Post as a 'Coping with #Depression' Blogger || https://t.co/rH05g0n4ES
--
#ppd #postpartumdepression #depressioncoping #majordepression #ppdcoping #mentalhealth #mentalillness #mhsm #mhchat https://t.co/MCkU8KZK1w",Depression
"Our findings show moderate and significant associations between #problematic social media use #SoMe and #depression, #anxiety, and #stress. We did not find any significant influence of age, gender, or year of publication.",Depression
"Through this meta-analysis we aimed to examine the association between #problematic social media use and symptoms of #depression, #anxiety, and #stress in youth.",Depression
"""It's likely that the thought of post-wedding depression has entered your mind."" - @CosmopolitanUK  https://t.co/vBBjlJ8g0U #postweddingdepression #wedding #depression",Depression
@dog_rates @allanpeda Omg thank you ! I need that face today. In a world filled with evil - there are always something good  too - puppies. #depression,Depression
@Iamdepr47974144 Have you talked to anyone about how you feel? #mentalhealth #depression,Depression
"Just a quick reminder to hold space for others. Be kind. Check in with your people.

#mentalhealth #mentalhealthawareness #anxiety #love #mentalhealthmatters #depression #health #wellness https://t.co/XJ61Z0I1P5",Depression
"#Depression

Abuse and trauma can have long lasting emotional and psychological effects on the victim.  Depression and other mood disorders are common amongst survivors of abuse, who often internalize the traumatic experience.",Depression
I’m honest and I share🤷🏼‍♂️ #anxiety #panic #panicattack #anxietyattack #mentalhealth #depression #SickNotWeak https://t.co/HVZwdG6E83,Depression
"Many of us give our past too much power and lower our self-confidence. Let go of the past for your mental health. If you want to help your loved ones, you should join our being there course to know more.
https://t.co/E2gIW1ayPf

#beingthere #motivation #depression #mentalillness https://t.co/S6eCWbLQWF",Depression
Surrounded by many but feel hopelessly alone. Smile on the face but aches in the heart. Shown love but feel hated and like a burden. Seemingly have it all yet feel empty and void of real happiness. #Depression isn't what's on the surface but rather what's hiding in the mind.,Depression
"""It’s good to accept the feelings without judging them or analysing them."" 

Read 'Dealing with Depression' https://t.co/K09M9Bhexd

◦
◦
◦

#depression #depressionawareness #mentalhealth #mentalhealthawareness #feelings #emotions #dealingwithdepression #happy #HappinessClub https://t.co/3YAE2ORj4e",Depression
"#depression
#depressionawareness
#depressionhelp
#poems
#blogs
#freeresources
#book

Are you starting the week on a good note? 

What is a support or resource that you can add to your life this week? 

https://t.co/PanmuDxfmi https://t.co/9AAIIcFIvH",Depression
"#depression
#depressionawareness
#depressionhelp
#poems
#blogs
#freeresources
#book

Are you starting the week on a good note? 

What is a support or resource that you can add to your life this week? 

https://t.co/PanmuDxfmi https://t.co/a0XR04FvX0",Depression
"Grainne will be presenting on the project, “Understanding news articles about teens, social media, and depression,” and will share findings about how journalists represent studies on #socialmedia and #depression in the #news. #PAS2022 https://t.co/GeoR35c87f",Depression
"What exactly are #antidepressants, and how do they really ""work""? Are they as safe and effective as we've been led to believe they are? The answers may surprise you. Visit #InnerCompass Initiative to learn more. #SSRIs #psychdrugs #depression #anxiety
https://t.co/EBfrsRtzPH https://t.co/qBSrobnqt2",Depression
"being too cynical is one of the signs 

#depression",Depression
A heartfelt story!! https://t.co/No3nU8Tyxe @AuthorStefanS #religion #spirituality #biographies #memoirs #historical #relationship #psychology #suicide #depression https://t.co/lODOpeZ6c7,Depression
"Are you curious about therapy options? Check out our therapy option guide! 

This may help lead you in the right direction to in your #anxiety and #depression journey.
 
https://t.co/QDOFjhwyoE https://t.co/mALvLWYnvW",Depression
"""Emotional Stress Eating"" Emotional Stress Eating is also known as Comfort Eating. It’s the act of responding to...
https://t.co/UbZArvgoxC #mentalhealth #anxiety #depression https://t.co/8rfrfHRKPl",Depression
"#SelfReflection Journaling Exercise for #AddictionRecovery. New. || https://t.co/O9SwZXCWh1
--
#addiction #recovery #sobriety #journalprompt #selfreflection #anxiety #depression #bipolardisorder #alcoholism #bingedrinking #mentalhealth #mentalillness #mhsm #mhchat https://t.co/xsYlKclxNp",Depression
Caring for pregnant women or new mothers? Our #CME program on #postpartum #depression (PPD) produced in partnership with @PlatformQHealth is now available on-demand. Watch now on #PsychiatryCareLive: https://t.co/QOZ86DaKT1 https://t.co/M1ejNHa3mr,Depression
"I waited months for baseball season. I read news about the lockout daily just hoping for a miracle. Finally we get opening day. I couldn’t be any more excited…

We’re 2-9…😔

#depression #bigredmachine #Reds",Depression
@JCRPjrnl: Virtual #cardiacrehab participants experienced less improvement in #depression https://t.co/utSBzsRaMj. More intense evidence-based intx needed? Or triage dep. pts to supervised model? #letstalkICCPR,Depression
"Hi everyone, 👋 we are here for you. 
☎️ 718 353 6678 , https://t.co/J56JTzL1EB

#meditation #Queens #mindfulness #healing #achievement #innerpeace #guidedmeditation #depression #guidedmeditationforbeginners #meditationforanxiety #meditationforstress #selfcare #selflove https://t.co/6gLob8yXYR",Depression
"Okay so my suicidal thoughts have drastically shifted. I’m not scared anymore. There’s so much to explain but can’t atm. But basically everything seems to be falling into place and it feels like this is how it’s meant to be
#schizoaffective #depression #ptsd #trauma #sewerside",Depression
Keeping your mind and body healthy can start early. Studies have shown that a healthy diet can help improve depression in young adults. Ask me about some things I have found to help my healthy diet. Message me on here. #diet #health #depression https://t.co/lvEVnjjIBx,Depression
"im getting into that deep hole in my mind i dont want to be in.
i dont know how many times i'll be able to come out of it.
#depression",Depression
"No matter what happens to you..Always remain the good person you are, nobody, nothing is worth changing yourself for.
#depression #motivational #Motivation #love #fight #FYP",Depression
"Don’t waste your time trying to get a pessimistic person to be more optimistic. Y’all are on a totally different frequency. They will switch channels when they get tired of the same song.
#depression #mentalhealth #motivational #shineyourlight",Depression
Your Morning Good: Love to see more research being done on psychedelics and how they can help with depression. -Dani https://t.co/Es7MI3RxG2 #goodnews #depression https://t.co/bXCB1jVTKR,Depression
Down for a normal stream today but first... to shower and change the clothes Ive been wearing for 4 days 👀 noticed some growth tho as I ate well and brushed my teeth and cleaned a bit during this episode 💪 #MentalHealthMatters #depression #mdd #ptsd #anxiety #lovewins #selflove,Depression
"#MentalHealth #Anxiety #Depression #LGBTIQA+
Those who say ""ignore other's judgments"" behave radically as they wish but they are the one's complaining about other's judgments having negative impact on them.This isn't #personal_choice,it's #confused_generation #mutation #save_them",Depression
"'the other painting I did which may b connected 2 a side project I'm working on. Like I said b4, if u're in a bad place try #arttherapy or hit me up. #art #darkart #nosferatu #nosferatuthevampyre #dracula #silentfilm #vampire #horrormovies #horror #depression #personalitydisorder https://t.co/RbgVXWRzJY",Depression
Anybody have any words of encouragement this morning? My depression is setting in and I want to stay optimistic. #WritingCommunity #writing #depression #mentalhealthhelp,Depression
"Although a case of the blues passes with time, clinical depression may linger indefinitely if not treated, says Erik Nelson, MD. People can't just snap out of being depressed. Sometimes depression has a biological cause. 
.
.
.
#StressManagement #StressManagementTips #Depression https://t.co/ATwUJ1nTuO",Depression
"The anxious urge to say ""no worries either way"" when
you are actually worrying both ways plus a secret third way🥲

#At10 
#Rita 
#Dunki 
#Dubai 
#depression",Depression
"Depression affects people all over the world. You are NOT alone. And if you need help, we are here for you. 

@TheRock 

#TMS #TMSTherapy #depression #therapy #neurostar #DwayneJohnson #TheRock #mentalhealthawareness #selfcare #loveyourself #endthestigma #celebrity https://t.co/UXJQyLybOP",Depression
this is how to show a loved one you care: Did something happen to make you start feeling this way? #mentalhealth #depression,Depression
"@suzyglitter1 The man struggled with #depression all his life. I suspect #homophobic attitudes may well have had something to do with that, even if they weren't the whole explanation.",Depression
"Depression usually comes the morning after victory, when I realized that nothing has changed. But something has changed - I respect myself more, and the depression proves it. #depression #victory #mental #MentalStrength",Depression
"Did you know that even a little bit of exercise can help prevent #depression? Click the link below to learn more! #MentalHealth

https://t.co/ieXXsNMWvy",Depression
"HOPE
https://t.co/7JHdiq8yMF

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
"#Depression in Women: Signs, #Symptoms and How to Feel Better https://t.co/FIIEwzvEhm
LIKE ▪️ SHARE ▪️ COMMENT",Depression
"ANXIETY
https://t.co/VELZt1lRpU

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
"SCHOOL
https://t.co/sL93eCfdKd

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
"Why ppl yelled or rushing know my mental health get worse without get panic attacks and anxiety every time. 

#depression #ADHD #ad #mentalhealth #au #friends #adhdawarenessmonth #follow #health #mindfulness #mentalillness #selfconfidence",Depression
"I suffer with #depression, a #personalitydisorder, #bodydysmorphia &amp; an #overeatingdisorder so I tried painting as therapy. If u r suffering, pick up a pencil/brush/camera and try #arttherapy. #darkart #darkpainting #trash #acrylicpainting #acryliconcanvas #selfdeprecatinghumor https://t.co/pzWUQLSNsw",Depression
It is a bit discouraging to need to spend an hour in order to eat a single frozen meal bite by slow bite. #depression,Depression
"How #Depression and #Anxiety is killing our young generation and what to do about it 
A teenage boy was rescued by the Police after he #prabhuwrites #prabhu #hymprudious https://t.co/y9QmR0gOBk #prabhudattasahoo #depressionandanxiety",Depression
Can someone suggest a psychiatrist?😔 Around Metro Manila. Papa-consult lang po ako. #psychology #breakdown #depression #anxiety #stress,Depression
"STRESS
https://t.co/QKZouB8ArS

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
I have a testimony! After all the racing and fleeting thoughts of drowning because of all the stress I was under—this morning I learned how to swim! #mentalhealth #MentalHealthAwareness #depression #anxiety #mindfulness https://t.co/tOpea9Azy6,Depression
"Braxia Scientific focuses on advance treatment #discovery and #development in #psychiatry targeting cognition. Learn more about our initiative with #ptsd #treatment, #SuicidePrevention, #depression and related #mentalhealth conditions.

https://t.co/8A5Plxjdam
@braxiahq https://t.co/cexg9krLr0",Depression
"CLIENTS
https://t.co/Zo4rnySgWf

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
Visit https://t.co/PP7c8pa4W3 to book a reading or energy healing session. #mentalhealth #reiki #yoga #Horoscope #Spirituality #tarotcollector #TarotReading #depression #keepitpushing https://t.co/FKsmH8eg0w,Depression
"MEETINGS
https://t.co/odxHFEP0kj

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
@Iamdepr47974144 Have you talked to anyone about how you feel? #mentalhealth #depression,Depression
"New Treatment for #Depression Found Effective in 80% of People, Study Says -  https://t.co/YTFcANAgVq",Depression
"MORALE
https://t.co/17V4kYNU3F

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
"Applesauce - Gone Johnson https://t.co/l4XOsdYldC via @YouTube 
#MentalHealthAwareness #Anxiety #Depression",Depression
"I don't usually do free events so this is a bargain folks. : )  ⁠
Register here: https://t.co/5yb7pcaoF4⁠ #mentalhealth #mentalillness #depression",Depression
"CAREER
https://t.co/4sM9a2phxy

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
"FAME
https://t.co/gAXqvjQUTP

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
"STRESS
https://t.co/BQhUwodjd1

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
"REVIEWS
https://t.co/qHzdMtdtVO

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
"RELATIONSHIP
https://t.co/caZB5tdpUt

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
"👉Mental Health
👉Stress
👉Depression
👉Don't worry
👉dementia
👉Read More #Health #stress #depression #mentalhealth 
👉👉https://t.co/yAng2Tm2FM https://t.co/Ecq7KdinGI",Depression
"REVIEWS
https://t.co/kBUOQjz0Sm

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
"REVIEWS
https://t.co/T0VN3BcfA2

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
Don't rely on others to build you up. Giving away your power allows them to break you down.  #podcast #FromSurvivingToThrivingPodcast #parenting #consciousparenting #mentalhealth #selfhelp #depression #anxiety https://t.co/jaEFUX4ycv,Depression
"Please help me welcome Andre Clark to the Find Your Balance Center team!   Andre started his career in the Air Force helping military members with PTSD and families with anxiety and depression.   Book an appointment with Andre today!

https://t.co/n3vo57Opc9
#depression #anxiety https://t.co/5aCBS0Vcz6",Depression
"MARRIAGE
https://t.co/4UBoOGTrqH

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
"If you are looking for a Historical Asian Biography, this book is for you. https://t.co/No3nU8Tyxe @AuthorStefanS #religion #spirituality #biographies #memoirs #historical #relationship #psychology #suicide #depression https://t.co/RdyXaUEVhR",Depression
"#MentalHealthApps for Coping with #Depression and #Anxiety || https://t.co/rwKMUacArc
--
#majordepression #anxietydisorder #mdd #gad #ptsd #ocd #mentalhealth #mentalillenss #mhsm #mhchat https://t.co/0HoiUWneTS",Depression
"❓Did You Know?

#DidYouKnow #Health #depression #coffee https://t.co/3mMv7ImlP3",Depression
"STAN
https://t.co/Jw1S9BPox8

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
"That moment when being spiked by someone and waking up  Naked not  knowing what the hell they have done to you trying to hide the disgust, pain ,embarrassment,More pain and more pain God cover me with your blood 😓 #pain #depression",Depression
"SUCCESS
https://t.co/HkBoFueo7h

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
"BUSINESS
https://t.co/wA88hSbOrn

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
"“Dark Tunnels” | Depression talk *sound on*

#AI #art #artist #depression https://t.co/NCBr2YtCcs",Depression
"TRAVEL
https://t.co/XUKeKjBcHj

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
"It’s tough sometimes, but we have to try keeping it together.
#mindset #motivationalquotes #motivation #inspirational #inspirationalquotes #positivity #positivequotes #positivevibes #goodvibes #goodmorning #stress #depression #licensedmassagetherapist #massagetherapy #massage https://t.co/kylTHfId69",Depression
"STAN
https://t.co/7ejvGr4A7w

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
"FEAR
https://t.co/HvEPPmsOGr

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
"#Cannabis is often touted as a #pain reliever, but a new study found that prescriptions for drugs that treat #depression, #anxiety, #insomnia and other conditions fell significantly in states that legalized recreational #marijuana. #cpp #chronicpain #MMJ https://t.co/LA6qM2diX7",Depression
"MARRIED
https://t.co/ZiYUfuOwQz

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
"GOSSIP
https://t.co/RAHDsPKF6Q

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
"The world feels so different at (almost) 3am
#schizoaffectivedisorder #psychosis #depression #ptsd #trauma #anxiety",Depression
"Yes, stress is related to alcoholism. 

People adopt drinking as a coping mechanism for stress. It is unhealthy. The more stressed someone is, the more they drink and eventually they become dependent on alcohol. 

#alcoholaddiction 
#depression",Depression
"SPEAK
https://t.co/TYL5OzcQxv

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
"#Trauma heals when 

#depression #emotional #anxiety https://t.co/R5MRDMzLen",Depression
"DATE
https://t.co/ka4xr99Evv

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
#Depression and #anxiety sufferers get health benefits from #exercise https://t.co/5LRc7hkFCE,Depression
"It's MaD ScIeNcE week here at Super Depressed! We'll be posting all your favourite strips involving the following:

#ENTOMOLOGY 😄 #DEPRESSION 😂 #PSYCHOLOGY 😖 #ROBOTICS 😱 #CRYING 😣 #PHARMACOLOGY 😭 #ENGINEERING 😱 #ANXIETY and #SELFDOUBT 😳 https://t.co/ol4GYEFWn1",Depression
This depression glass biscuit jar is simply stunning 😍 You can find it on @Etsy at BeezyAndCo - link in bio #vintage #etsy #pink #depression #glass #biscuit #cookie #1930s #vintagestyle #etsyfinds #mothersdaygift #gift #giftideas #etsyfinds #tuesdayvibe #tuesdaymotivations https://t.co/zlWZQNdJuC,Depression
"#poem 102 is dedicated to @AURORAmusic 

When exiting the hospital it is common for a #bipolar person to suffer #depression.

When manic there is a sense of purpose but when the delusions fade so does any love for life. https://t.co/oB5dXE2Z1a",Depression
"PARENT
https://t.co/o8p5asDpq8

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
"My editor, Catherine McLean, finished editing my memoir, Escape to the Family Garage:  Family Love Overcomes Bullying. Time for the next step. I'm excited!
#memoir #bullying #mentalillness #depression",Depression
"FEAR
https://t.co/6qcq5VW8na

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
Psychedelics could help treat depression – we need more research into their potential | @ian_hamilton_ https://t.co/0XIypEG0ga #psychedelics #depression,Depression
"FAME!
https://t.co/WY4Uf71MLG

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
The scariest thing about #depression is that it’s not tangible. #FeelNothingAtAll #MentalHealth,Depression
"PRAY
https://t.co/u2un4y8F3I

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
Interviews of men who have lived with #depression and/or other mental illnesses as well as interviews with experts in which we take a deep dive into various topics around mental health! https://t.co/XMyYSdQqqS Don't miss a single episode! Subscribe//Follow NOW! Pls Retweet!,Depression
"PETS
https://t.co/UNkekjZ96v

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
"HELP
https://t.co/PMM9upSJuQ

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
A new systematic review in @JAMAPsych concludes that even light physical activity contributes significantly towards prevention of #depression: https://t.co/DykayjdwuM. Get moving!,Depression
"leader
https://t.co/s7HKy3gPqe

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
"1. Pretend to be ok.
2.Accept difficulties and be patient. Both are active attitudes that require energy and are very difficult to combine. 
Choose which one to drop! 
I have chosen to leave the first.
#MentalHealthMatters #depression #anxiety https://t.co/3a4AbN9xRG",Depression
"Having a bad day 😭 suicidal thoughts , arguing with myself over why I should and why I shouldn’t , tired , exhausted , not ready to give up just yet ! #mentalhealth #MentalHealthAwareness #depression #SuicideAwareness #notgivingup #anxiety https://t.co/60YadWffzr",Depression
"goals
https://t.co/39zAStV4FM

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Depression
"A huge thanks to everyone who responded to my tweet yesterday with such kindness &amp; support ♥️ I really appreciate all of you!!

#depression #MentalHealthMatters #EndTheStigma #community",Depression
"How can it be that a seemingly depressed person, one who shows clinical symptoms, doesn’t respond to antidepressants or psychotherapy? Perhaps because the root of his anguish is something else.
#depression #emotions #trauma #neglect #SuicidePrevention 
https://t.co/l4Ya2P9hHm",Depression
"22 Crucial Things to Know About Emotions for Emotional Health via #thechangetriangle blog:
1. Emotions just are.
2. Emotions are physical. Read the rest &amp; see how many you know.
#mentalhealth #wellbeing #emotionalhealth #anxiety #depression #wellness 
https://t.co/gSS7BI2nv6",Depression
Psilocybin for the win in battling depression. It essentially “resets” the brain. https://t.co/DdaaFdofbM #depression #Psilocybin #alternativemedicine #healthandwellness #MentalHealthAwareness #mentalhealth #selfcare,Depression
"Divorce Is Not The End Of Life, Don’t Make It One

#mentalhealth #mentalhealthawareness #selfcare #selflove #love #anxiety #mentalhealthmatters #motivation #depression #health #mindfulness #wellness #healing #inspiration #therapy #happiness #divorcelawyer #divorced #relationships https://t.co/An7TrWm3mr",Depression
@Iamdepr47974144 Have you talked to anyone about how you feel? #mentalhealth #depression,Depression
"Participants needed for online survey!

Topic: ""Religion, Spirituality, and Mental Health Services"" https://t.co/Fz4iALvD1f via @SurveyCircle

#ImpactOfReligion #spirituality #MentalHealth #FocusOnDepression #depression #survey #surveycircle https://t.co/XditOo8osr",Depression
"Hang in there. You're doing better than you know!
#depression #anxiety #ptsd #trauma #dv #chronicillness https://t.co/pCZVIIvdvk",Depression
#Depression is such a fickle bitch. Yesterday it took everything I had to get out of bed and go to work. And today I’m like “Yay I get to see my students today!!!”,Depression
I know why I go to the extremes #bipolar #depression #SuicidePrevention #anxiety @MarkRuffalo @billyjoel https://t.co/Rc8JIb11qQ,Depression
Day 1 of holding myself accountable. I don’t know how it happened but that switch to being willing to admit your depression makes me proud of myself #Depression #MentalHealth,Depression
"Hearing well is living well! 👇
New Randomized Controlled Trial (RCT) in China shows that hearing aids improve hearing-related quality of life and alleviate the depressive symptoms. #hearingaids #depression #qualityoflife #cognitivehealth 
https://t.co/rQPLTNlzc6",Depression
"Creating Your Story for Healing through Trauma.
#multicultural07clinician, #octavesmethod, #healthymind, #podcasts, #podcasting, #podcaster, #podcastlife, #1K1H, #amazon, #anchor, #amwriting, #bookworm, #reader, #BookAddict, #trauma, #mentalhealth, #ptsd, #depression, #anxiety, https://t.co/LgAhXkYAVy",Depression
"TUESDAY NEWSDAY! 
Study Shows Mindfulness-Based Acceptance and Commitment Therapy Can Benefit People with Lupus:
https://t.co/iguixmzWb5

#therapy #health #acceptance #SLE #lupus #depression #anxiety #tuesday #news #research",Depression
"A very latest study at #SingularityAcademy. We want to bring this alternative view #traditional #chinese #medicine to the treatment / healthcare / scientific discussion and help #LongCovid #Survivors get rid of #BrainFog, #Depression, and #Anxiety.   
https://t.co/47rgnSapo1 https://t.co/q8R7F3aDWT",Depression
How to Battle #Depression With Alternative Therapies https://t.co/uUgyvgkQro,Depression
